"Distancia (kilómetros)","Barcelona","Valencia","Sevilla","Zaragoza","Málaga","Murcia","Palma","Las Palmas de Gran Canaria","Bilbao","Alicante","Córdoba","Valladolid","Vigo","Gijón","Hospitalet de Llobregat"
"Barcelona","","350","999","310","953","567","715","2519","609","516","863","727","1142","874","13"
"Valencia","350","","658","310","604","218","366","2179","612","166","523","566","946","822","342"
"Sevilla","998","659","","841","210","528","951","1523","859","601","143","581","773","796","990"
"Zaragoza","309","310","842","","834","526","675","2358","303","475","701","421","836","568","301"
"Málaga","953","607","210","834","","400","823","1731","923","473","159","739","979","1002","946"
"Murcia","566","220","527","526","400","","431","2049","781","82","434","607","986","863","559"
"Palma","714","369","950","675","823","431","","2472","977","353","874","918","1298","1174","707"
"Las Palmas de Gran Canaria","2520","2181","1525","2360","1732","2050","2473","","2377","2123","1665","2100","2227","2314","2513"
"Bilbao","609","611","859","303","922","782","976","2375","","776","789","279","666","265","601"
"Alicante","514","168","600","474","473","82","353","2122","776","","507","631","1011","887","506"
"Córdoba","860","521","143","698","157","433","871","1663","787","506","","604","830","860","853"
"Valladolid","728","569","584","422","740","608","919","2100","280","632","607","","439","315","720"
"Vigo","1146","947","771","840","976","986","1297","2223","664","1010","829","437","","403","1138"
"Gijón","873","824","796","567","1001","863","1174","2313","265","887","861","314","404","","865"
"Hospitalet de Llobregat","10","342","991","301","945","559","707","2511","601","507","855","718","1134","865",""
"","","","","","","","","","","","","","","",""
"Cuadro de kilometraje entre España ciudades: ","","","","","","","","","","","","","","",""
"https://es.mejoresrutas.com/tabla-de-distancias-entre-ciudades/es/","","","","","","","","","","","","","","",""
