Total Nacional;Municipios;Sexo;Unidades de medida;Total
Total Nacional;;Ambos sexos;Personas;47.400.798
Total Nacional;;Hombres;Personas;23.248.611
Total Nacional;;Mujeres;Personas;24.152.187
Total Nacional;01051 Agurain/Salvatierra;Ambos sexos;Personas;5.022
Total Nacional;01051 Agurain/Salvatierra;Hombres;Personas;2.525
Total Nacional;01051 Agurain/Salvatierra;Mujeres;Personas;2.497
Total Nacional;01001 Alegría-Dulantzi;Ambos sexos;Personas;2.924
Total Nacional;01001 Alegría-Dulantzi;Hombres;Personas;1.518
Total Nacional;01001 Alegría-Dulantzi;Mujeres;Personas;1.406
Total Nacional;01002 Amurrio;Ambos sexos;Personas;10.295
Total Nacional;01002 Amurrio;Hombres;Personas;5.085
Total Nacional;01002 Amurrio;Mujeres;Personas;5.210
Total Nacional;01049 Añana;Ambos sexos;Personas;154
Total Nacional;01049 Añana;Hombres;Personas;93
Total Nacional;01049 Añana;Mujeres;Personas;61
Total Nacional;01003 Aramaio;Ambos sexos;Personas;1.456
Total Nacional;01003 Aramaio;Hombres;Personas;753
Total Nacional;01003 Aramaio;Mujeres;Personas;703
Total Nacional;01006 Armiñón;Ambos sexos;Personas;231
Total Nacional;01006 Armiñón;Hombres;Personas;117
Total Nacional;01006 Armiñón;Mujeres;Personas;114
Total Nacional;01037 Arraia-Maeztu;Ambos sexos;Personas;799
Total Nacional;01037 Arraia-Maeztu;Hombres;Personas;444
Total Nacional;01037 Arraia-Maeztu;Mujeres;Personas;355
Total Nacional;01008 Arratzua-Ubarrundia;Ambos sexos;Personas;1.013
Total Nacional;01008 Arratzua-Ubarrundia;Hombres;Personas;549
Total Nacional;01008 Arratzua-Ubarrundia;Mujeres;Personas;464
Total Nacional;01004 Artziniega;Ambos sexos;Personas;1.806
Total Nacional;01004 Artziniega;Hombres;Personas;887
Total Nacional;01004 Artziniega;Mujeres;Personas;919
Total Nacional;01009 Asparrena;Ambos sexos;Personas;1.633
Total Nacional;01009 Asparrena;Hombres;Personas;829
Total Nacional;01009 Asparrena;Mujeres;Personas;804
Total Nacional;01010 Ayala/Aiara;Ambos sexos;Personas;2.950
Total Nacional;01010 Ayala/Aiara;Hombres;Personas;1.502
Total Nacional;01010 Ayala/Aiara;Mujeres;Personas;1.448
Total Nacional;01011 Baños de Ebro/Mañueta;Ambos sexos;Personas;286
Total Nacional;01011 Baños de Ebro/Mañueta;Hombres;Personas;157
Total Nacional;01011 Baños de Ebro/Mañueta;Mujeres;Personas;129
Total Nacional;01013 Barrundia;Ambos sexos;Personas;891
Total Nacional;01013 Barrundia;Hombres;Personas;491
Total Nacional;01013 Barrundia;Mujeres;Personas;400
Total Nacional;01014 Berantevilla;Ambos sexos;Personas;462
Total Nacional;01014 Berantevilla;Hombres;Personas;240
Total Nacional;01014 Berantevilla;Mujeres;Personas;222
Total Nacional;01016 Bernedo;Ambos sexos;Personas;539
Total Nacional;01016 Bernedo;Hombres;Personas;315
